gene	control	dpi1
NUDT4	0	0.030144575
PIGBOS1	0	0.255201368
A0A0U1RRL7	0	0.93066824
SLC12A8	0	0.383064783
RBM47	0	0.159855438
UBA6	0	0.188829515
ESYT2	0	0.21815844
ESYT3	0	0.227934253
UHRF1BP1L	0	0.098689793
KIAA1598	0	0.575055025
TMEM120B	0	0.224402408
ARHGAP10	0	0.539820115
CCDC64B	0	0.16460384
MEX3A	0	0.049339425
ILVBL	0	0.129759053
C17ORF89	0	0.113811568
PLEKHG3	0	-0.032748803
SH3PXD2B	0	0.20923286
CXORF23	0	0.085388353
ZNF320	0	-0.001809073
NBAS	0	0.341344945
DENND3	0	0.540761595
VWA8	0	0.20833239
SBNO1	0	0.43536781
LAMB4	0	0.57224964
GTPBP10	0	0.36694289
WDR91	0	0.151283515
KLRG2	0	-0.083916753
RAB19	0	0.457408713
LCHN	0	0.432858463
VPS37C	0	0.20377462
TMEM189	0	0.46215426
TRAPPC13	0	0.392222938
CNOT1	0	0.082550988
MAP1LC3B2	0	0.07763941
FAM83G	0	0.213687535
PGP	0	0.375597255
C5ORF51	0	0.06835795
RCCD1	0	0.190288815
SOWAHB	0	0.277401503
ZNF316	0	0.297634905
SDHAF1	0	0.16351009
FBLL1	0	0.56003802
SMCHD1	0	0.155851118
GATSL2	0	0.64193965
UNC119B	0	0.187831593
METTL15	0	0.204934643
OR6C65	0	1.512475033
LIPT2	0	0.169596468
PCP4L1	0	0.259576778
RGPD3	0	0.187368265
ZNF726	0	-0.005678533
ZSWIM8	0	0.03298681
ARHGAP32	0	0.664835515
A2ML1	0	0.360372963
LYRM9	0	0.132991218
CEBPZOS	0	0.342024363
BBIP1	0	0.252270397
PHF20L1	0	0.226008685
NUDT19	0	0.3063215
SMIM1	0	0.289994768
RABGAP1L	0	0.37445534
FAM195B	0	0.093196153
UPK3BL	0	0.24713054
ANKRD65	0	0.092915478
NACA	0	0.107854745
C11ORF98	0	0.198895453
SLC35A4	0	0.085514845
ASNSD1	0	0.127203475
SMCR7L	0	0.196072005
DNASE2	0	0.14380254
AGPS	0	0.12577702
KIF2A	0	0.06628413
TK2	0	0.164388103
DDX39A	0	0.224388938
PDLIM1	0	0.041560795
ACOT7	0	0.09496961
MYO1C	0	0.16513783
SNAP23	0	0.184018515
HAX1	0	0.106822253
AIP	0	0.212212413
GTPBP1	0	0.066211728
STXBP3	0	0.094245715
ARVCF	0	0.088524283
SMAP	0	0.176925028
RAB27B	0	0.450459053
AP3B1	0	0.127265678
LGALS8	0	0.057127345
NDUFS8	0	0.333078418
TNFRSF10A	0	0.33150682
NFKBIE	0	0.56759953
PSMD11	0	0.192644335
PSMD12	0	0.380171163
PSMD9	0	0.08295364
ATOX1	0	0.059025693
MEN1	0	0.519322935
CBX4	0	0.06391647
PGRMC1	0	0.378987185
SUPT5H	0	0.08207044
TAF4	0	0.309911805
DFFA	0	0.13697646
RFXAP	0	0.160893975
HIP1	0	0.15937439
CLIC1	0	0.32117292
EIF3F	0	0.092143323
WWP2	0	0.06635571
ARNTL	0	0.449179898
PDHX	0	0.057316518
QSOX1	0	0.283915205
DCTN6	0	0.067383375
SLC33A1	0	0.064297433
WASL	0	0.131778238
IPO5	0	0.24063089
POLRMT	0	0.153606063
EEF2K	0	0.341019308
SAP18	0	0.164650393
IGF2BP3	0	0.09622387
DNM1L	0	0.06390587
RTCA	0	0.285032635
PIK3C2A	0	-0.00165796
PIK3R2	0	0.24673049
GOLIM4	0	0.248567318
MANBA	0	0.298397435
AGRN	0	0.10292797
PLOD2	0	0.084565368
EXOC5	0	0.392211645
HMGN4	0	-0.116697833
NDUFA4	0	0.602964013
PSMD14	0	0.169097978
ZNF593	0	-0.003006005
BIN1	0	0.223564173
KPNA3	0	0.096298205
STK25	0	0.012997418
BCL9	0	-0.048428868
FAAH	0	0.018290723
VWA5A	0	0.15323533
PES1	0	0.086905043
SDCBP	0	0.18354848
PITPNM1	0	0.057445753
MPHOSPH10	0	0.201388318
NOP56	0	0.12034076
DDX3X	0	0.104455218
RNASET2	0	0.069639338
CYR61	0	0.06604575
PIR	0	0.064951225
KPNA4	0	0.10675112
TRIM38	0	0.167674203
NFIB	0	0.484489978
PPP6C	0	0.229225168
NME4	0	0.254379063
MAN2B1	0	0.09411433
FBP2	0	0.267131785
PDXK	0	0.03316558
SCD	0	0.386024205
PPAP2A	0	0.243408715
PPAP2B	0	0.062665665
ARID1A	0	0.051713535
BHLHE40	0	0.309424433
CDK2AP1	0	0.398799
SDHD	0	0.286262555
TMEM194A	0	0.057396168
TXNDC9	0	0.12490068
TRAFD1	0	0.132392783
COX7A2L	0	0.108295735
NDUFAB1	0	0.738185605
UBFD1	0	0.475509755
CYB561D2	0	-0.014243333
CIT	0	0.2490061
COPE	0	0.06299247
RFXANK	0	0.078171608
EIF1AY	0	0.216937543
AP3D1	0	-0.05631356
CCS	0	0.242990598
ENPP3	0	0.32984666
ABLIM1	0	0.050814515
DVL2	0	0.454618713
CHD1	0	0.057572813
CHD2	0	0.213473533
GOSR2	0	0.019748233
TOR1A	0	0.06582021
TOR1B	0	0.290491005
STX16	0	1.049092128
ADAM10	0	0.203695698
EI24	0	0.12881871
TP53I11	0	-0.023552353
KMT2D	0	0.08405382
APAF1	0	0.087520028
RIOK3	0	0.29298871
IMPA2	0	0.117740123
MAP2K7	0	0.475448403
ACOT8	0	0.23466258
PDCD5	0	0.258758653
PRMT5	0	0.09268998
SLC9A3R1	0	-0.00102013
TNFRSF10B	0	0.188893053
FPGT	0	0.8825826
TPP1	0	0.183828093
TCERG1	0	0.169727375
NRP1	0	0.140523095
TNPO2	0	0.127789138
UNC13B	0	0.13954094
TNFRSF10C	0	0.31993399
POLR3A	0	0.190141228
PSMA7	0	0.236512923
SCAMP3	0	0.192393718
PHYH	0	0.111688243
OPLAH	0	0.021216505
BACH1	0	-0.01726263
BCKDK	0	0.17187318
MGST3	0	0.891637035
GEMIN2	0	0.585236438
IRF6	0	0.52007863
TAX1BP3	0	0.648253233
GIPC1	0	-0.01153158
LIN7A	0	0.108155528
IKBKB	0	0.131244375
RGS12	0	0.34184218
TIMM23	0	0.130137143
HAT1	0	0.466807425
CASK	0	0.30516925
UQCRQ	0	0.591065393
HGS	0	0.160002998
DSCR3	0	0.605662248
PPP1R12A	0	0.047371813
SLC27A2	0	0.377757295
GAK	0	0.076468995
HNRNPDL	0	0.353641295
XPO1	0	0.122889563
BTAF1	0	0.083054395
ZNF609	0	0.376647448
