protein	state
ZC3H11A	yes
ESYT2	yes
PLEKHG3	yes
CXORF23	no
NBAS	no
KLRG2	no
SOWAHB	no
ZSWIM8	no
POM121C	yes
SMIM1	no
FAM195B	yes
SNAP23	yes
GTPBP1	no
ARVCF	no
SMAP	no
PGRMC1	yes
SUPT5H	no
CDC7	yes
WASL	yes
FOXN3	no
EEF2K	no
IGF2BP3	yes
BIN1	no
MPHOSPH10	yes
NOP56	yes
NFIB	no
CLDN4	yes
ARID1A	no
TXNDC9	no
TRAFD1	yes
ABLIM1	yes
DVL1	yes
DVL2	no
CHD1	yes
CHD2	yes
KMT2D	no
ITGB1BP1	no
RIOK3	no
PDCD5	no
UNC13B	no
PPP1R12A	yes
GAK	no
BTAF1	yes
ZNF609	yes
MAST4	yes
SEC16A	yes
PLXNB2	yes
U2SURP	yes
SETD1A	no
MCF2L	no
DCLK1	no
ARHGEF11	yes
SCAMP2	no
TRIM24	yes
AXIN1	no
ZBTB22	no
RGL2	yes
ZNF185	no
CASC3	yes
EIF3D	no
STX7	no
TNRC18	no
ABCC3	no
RNF113A	yes
KDM6A	yes
CLDN3	no
ZZEF1	no
RRP8	yes
SIPA1L1	yes
GPR39	no
PPIP5K2	no
MAP3K7	no
SYNJ1	yes
EIF4G3	no
DNPH1	no
HTATSF1	yes
SYNGR2	no
SGTA	yes
ENSA	yes
RRP9	no
AKAP8	no
NRD1	no
AHCYL1	yes
KIF1C	no
DHX16	no
SH3BP5	no
MED14	yes
SMARCA5	yes
GPRIN2	yes
SPAG9	yes
SIPA1L3	no
ZFC3H1	yes
MAST3	yes
MCM3AP	no
KDM1A	yes
TBC1D4	yes
FZD6	yes
EVI5	no
MPZL2	no
CCNT2	no
PRMT3	no
CTNND1	yes
DPM1	yes
PFKFB2	yes
DKC1	yes
EIF5B	yes
PPP1R11	yes
RNASEH1	no
LRP4	no
ROCK2	no
PHF2	no
KDM4A	no
ANKRD17	yes
H2AFY	no
NCOR1	no
PRPF40A	yes
LRCH4	no
SAP30	no
PSIP1	no
SRSF10	yes
BANF1	yes
SF3B1	yes
PRKRA	no
SNRNP200	yes
TOM1L1	no
UTP20	yes
EIF3J	no
PPP1R37	no
CCNK	yes
PIAS1	yes
CPD	yes
RSL1D1	no
SRP72	no
RECQL5	no
STK10	no
PRKD3	yes
TOX4	yes
SORBS2	no
PHF14	no
PCF11	yes
FAM13A	yes
HEXIM1	no
TJP3	yes
UBR5	yes
UBE4B	yes
EPN2	no
ZRANB2	yes
LUC7L3	yes
KAT7	yes
TACC2	no
ZBTB7A	no
SVIL	yes
SLC34A2	no
CLDN7	yes
CLDN9	no
CPSF4	yes
FGFR1OP	no
PPP1R3D	no
BRD1	yes
HERC2	no
WIZ	no
BAG3	yes
MAP4K4	yes
AIFM1	no
C6ORF47	no
PAK4	yes
MYC	yes
LMNA	yes
FTH1	no
ERBB2	no
HSPB1	yes
HMGN1	yes
RPLP1	no
RPLP2	no
SSB	no
KRT18	yes
RB1	no
PTMA	yes
CDK1	no
ATP5B	no
NPM1	no
CENPB	yes
H1F0	no
HNRNPC	yes
LYN	no
SP1	no
IGF1R	no
HSP90AB1	no
SRPR	yes
PDHA1	yes
MET	no
ADRB1	yes
SNRNP70	no
VIM	no
HNRNPA1	yes
FURIN	no
TFPT	no
POLR2M	no
ERCC6	no
ZBTB48	no
ARAF	yes
RAF1	no
HIST1H1E	no
NR2F6	no
PRKAR1A	no
MAP2	yes
BCR	yes
TOP2A	yes
ESRRA	no
IGF2R	yes
SRF	no
TPR	yes
BCKDHA	yes
EEF2	yes
GYS1	yes
PRKAR2A	yes
BRAF	no
ATF2	yes
DSP	yes
MUC1	no
H2AFX	yes
GCFC2	yes
HIST1H1B	yes
HIST1H1D	no
STMN1	yes
YBX3	yes
HMGA1	yes
JUNB	no
GJA1	yes
ATF7	no
CTPS1	yes
DDX5	no
VCL	no
SON	yes
NELFE	yes
RCC1	no
LIG1	yes
XRCC1	yes
MYL12A	yes
NCL	yes
SLC9A1	yes
ATP2B1	no
EIF2S2	yes
LMNB1	yes
BCL3	no
PTMS	yes
CDK11B	yes
OSBP	yes
UBA1	no
HNRNPA2B1	no
TCEA1	yes
RPS6KB1	yes
SP100	yes
CFL1	no
EIF4B	yes
POLR2A	yes
APC	no
MCM3	yes
BRD2	no
DNAJB2	yes
PSMA3	no
MSN	no
PTPN3	no
U2AF2	no
PTBP1	no
MAPK3	no
MARK3	no
DCK	yes
MAP4	no
CANX	yes
SSFA2	yes
MAPK1	no
ERCC5	no
EPHA2	yes
PML	yes
EEF1D	no
CCND3	no
NKTR	yes
CLIP1	no
PRKAR1B	no
AKT1	no
HNRNPH1	no
ELF1	no
ABCC1	no
USP6	no
CTNNA1	yes
CTNNB1	no
GTF2F1	no
IRS1	yes
MYH9	no
MYH10	no
ADD1	no
NUP214	yes
DEK	yes
HNF1B	no
SOX6	no
GNL1	no
SREBF1	no
TAGLN2	yes
RBMX	no
COIL	yes
CUX1	yes
ETV6	no
PPP1R2	no
PRKCI	yes
TMPO	yes
PI4KA	yes
ABL2	no
RBM34	yes
HTT	no
MATR3	yes
SSR1	no
NKX2-1	no
CBX5	yes
ATRX	yes
BAG6	no
MAP1B	yes
YAP1	yes
RAP1GAP	no
PRRC2A	yes
CSNK1D	no
MARCKSL1	no
PXN	no
RPL34	yes
CYB561	yes
CENPA	yes
PCYT1A	yes
MCM2	no
RBM25	no
CLK1	yes
CLK2	no
CLK3	yes
PSEN1	no
NUP153	no
RANBP2	no
TSC2	no
GSK3A	no
TAF6	yes
LIG3	yes
MRE11A	yes
EMD	no
ST13	no
CDK7	no
HLCS	yes
BCAM	no
FXR1	yes
FXR2	no
SMARCA2	yes
SMARCA4	yes
HCFC1	no
HDGF	yes
HNRNPA3	yes
AGFG1	no
MSH6	yes
RBM5	no
HMGA2	yes
NUP98	yes
DAPK1	no
ACLY	no
SUB1	yes
CLNS1A	no
HIRA	yes
ATXN1	yes
ATN1	yes
TERF1	yes
EIF5	no
SLC12A2	no
VCP	no
MFAP1	yes
MLLT4	yes
MLLT10	no
MLLT6	no
FOXA1	yes
EIF3B	no
CLDN6	no
CLDN18	no
EVC	yes
KLF3	yes
TPI1	yes
SEC61B	no
PTEN	no
DSTN	yes
MAX	yes
RPS3A	no
RPL37	no
HNRNPK	no
RPS6	yes
RPS28	no
TRA2B	yes
SUMO1	no
YBX1	yes
CXADR	yes
RNF4	no
SRPK2	yes
PRKDC	yes
MAP1A	yes
SRSF3	yes
FOXK1	yes
LRP2	yes
RBM10	yes
HSF1	no
HNRNPU	yes
SPTBN1	yes
SRSF2	yes
