"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr4",129268500,129269385,886,"*","Distal Intergenic",4,129225360,129261404,36045,2,"97130","ENSMUST00000145261.7",-7096,"ENSMUSG00000050390","C77080","expressed sequence C77080"
"2","chr15",39967740,39968624,885,"*","Distal Intergenic",15,39962649,39967024,4376,1,"105976","ENSMUST00000227886.1",5091,NA,"AU022793","expressed sequence AU022793"
"3","chr1",135593755,135594673,919,"*","Intron (ENSMUST00000067468.5/215714, intron 2 of 5)",1,135434580,135585705,151126,2,"215690","ENSMUST00000067414.12",-8050,"ENSMUSG00000009418","Nav1","neuron navigator 1"
"4","chr2",94051706,94052623,918,"*","Exon (ENSMUST00000145967.7/56348, exon 3 of 6)",2,94032689,94066469,33781,2,"56348","ENSMUST00000145967.7",13846,"ENSMUSG00000027195","Hsd17b12","hydroxysteroid (17-beta) dehydrogenase 12"
"5","chr1",84881326,84882243,918,"*","Intron (ENSMUST00000097672.3/66153, intron 2 of 3)",1,84869151,84900487,31337,1,"66153","ENSMUST00000151737.1",12175,"ENSMUSG00000073633","Fbxo36","F-box protein 36"
"6","chr4",133941217,133942098,882,"*","Distal Intergenic",4,133965444,133967243,1800,2,"15331","ENSMUST00000123234.7",25145,"ENSMUSG00000003038","Hmgn2","high mobility group nucleosomal binding domain 2"
"7","chr18",23868571,23869548,978,"*","Intron (ENSMUST00000170802.7/212307, intron 5 of 7)",18,23804103,23890931,86829,1,"212307","ENSMUST00000165387.1",64468,"ENSMUSG00000024277","Mapre2","microtubule-associated protein, RP/EB family, member 2"
"8","chr7",99304664,99305551,888,"*","Intron (ENSMUST00000068973.10/17760, intron 1 of 3)",7,99269132,99320582,51451,1,"17760","ENSMUST00000209094.1",35532,"ENSMUSG00000055407","Map6","microtubule-associated protein 6"
"9","chr6",146124483,146125368,886,"*","Intron (ENSMUST00000079573.12/16439, intron 54 of 55)",6,146120595,146147208,26614,2,"16439","ENSMUST00000137938.1",21840,"ENSMUSG00000030287","Itpr2","inositol 1,4,5-triphosphate receptor 2"
"10","chr6",108444639,108445428,790,"*","Intron (ENSMUST00000032192.8/16438, intron 44 of 61)",6,108458703,108471129,12427,1,"16438","ENSMUST00000205048.1",-13275,"ENSMUSG00000030102","Itpr1","inositol 1,4,5-trisphosphate receptor 1"
"11","chr11",32404446,32405350,905,"*","Intron (ENSMUST00000038753.5/268396, intron 7 of 12)",11,32455370,32516687,61318,1,"327900","ENSMUST00000051053.4",-50020,"ENSMUSG00000044949","Ubtd2","ubiquitin domain containing 2"
"12","chr10",120623932,120624737,806,"*","Distal Intergenic",10,120765732,120774481,8750,1,"70874","ENSMUST00000219219.1",-140995,"ENSMUSG00000044544","4921513I03Rik","RIKEN cDNA 4921513I03 gene"
"13","chr9",70318333,70319234,902,"*","Intron (ENSMUST00000214767.1/71602, intron 5 of 17)",9,70405694,70405753,60,2,"100885839","ENSMUST00000176002.1",86519,"ENSMUSG00000093763","Mir5626","microRNA 5626"
"14","chr4",116300719,116301610,892,"*","3' UTR",4,116308008,116309205,1198,2,"17776","ENSMUST00000128713.1",7595,"ENSMUSG00000003810","Mast2","microtubule associated serine/threonine kinase 2"
"15","chr17",46932745,46933600,856,"*","Promoter (<=1kb)",17,46930243,46933075,2833,2,"224826","ENSMUST00000224442.1",0,"ENSMUSG00000023977","Ubr2","ubiquitin protein ligase E3 component n-recognin 2"
"16","chr6",35542548,35543482,935,"*","Promoter (2-3kb)",6,35508906,35539888,30983,2,"14489","ENSMUST00000031866.8",-2660,"ENSMUSG00000029840","Mtpn","myotrophin"
"17","chr10",93265555,93266470,916,"*","3' UTR",10,93254744,93284975,30232,2,"13713","ENSMUST00000223340.1",18505,"ENSMUSG00000008398","Elk3","ELK3, member of ETS oncogene family"
"18","chr4",149820300,149821183,884,"*","Distal Intergenic",4,149744036,149774277,30242,2,"70556","ENSMUST00000105686.2",-46023,"ENSMUSG00000028982","Slc25a33","solute carrier family 25, member 33"
"19","chr4",43383036,43383748,713,"*","Promoter (<=1kb)",4,43383449,43414840,31392,1,"100213","ENSMUST00000135216.1",0,"ENSMUSG00000035969","Rusc2","RUN and SH3 domain containing 2"
"20","chr3",10022418,10023233,816,"*","Exon (ENSMUST00000195727.1/ENSMUST00000195727.1, exon 2 of 2)",3,10012605,10016335,3731,1,"16592","ENSMUST00000123744.1",9813,"ENSMUSG00000027533","Fabp5","fatty acid binding protein 5, epidermal"
"21","chr10",93138438,93139330,893,"*","Distal Intergenic",10,93160875,93225368,64494,1,"237459","ENSMUST00000215495.1",-21545,"ENSMUSG00000020015","Cdk17","cyclin-dependent kinase 17"
"22","chr10",83177770,83178569,800,"*","Intron (ENSMUST00000040110.7/58250, intron 2 of 2)",10,83301016,83304375,3360,2,"338365","ENSMUST00000139329.1",125806,"ENSMUSG00000034591","Slc41a2","solute carrier family 41, member 2"
"23","chr1",125508032,125508850,819,"*","Distal Intergenic",1,125560595,125568573,7979,1,"74150","ENSMUST00000190037.6",-51745,"ENSMUSG00000026342","Slc35f5","solute carrier family 35, member F5"
"24","chr6",88056635,88057547,913,"*","Distal Intergenic",6,87999106,88045270,46165,2,"19349","ENSMUST00000113600.9",-11365,"ENSMUSG00000079477","Rab7","RAB7, member RAS oncogene family"
"25","chr9",64564053,64564967,915,"*","Intron (ENSMUST00000093829.8/214058, intron 4 of 22)",9,64546899,64638466,91568,1,"214058","ENSMUST00000147388.1",17154,"ENSMUSG00000036466","Megf11","multiple EGF-like-domains 11"
"26","chr11",59392074,59392971,898,"*","Distal Intergenic",11,59372669,59375657,2989,2,"216797","ENSMUST00000061481.6",-16417,"ENSMUSG00000049291","Prss38","protease, serine 38"
"27","chr3",126831180,126832082,903,"*","Intron (ENSMUST00000106402.7/108058, intron 16 of 19)",3,126805862,126842893,37032,1,"108058","ENSMUST00000170149.1",25318,"ENSMUSG00000053819","Camk2d","calcium/calmodulin-dependent protein kinase II, delta"
"28","chr4",133347662,133348580,919,"*","Intron (ENSMUST00000135929.7/230796, intron 1 of 5)",4,133308792,133352878,44087,2,"230796","ENSMUST00000135929.7",4298,"ENSMUSG00000037622","Wdtc1","WD and tetratricopeptide repeats 1"
"29","chr6",145977518,145978384,867,"*","Distal Intergenic",6,145953429,145965223,11795,1,"16651","ENSMUST00000111701.1",24089,"ENSMUSG00000030255","Sspn","sarcospan"
"30","chr12",104185937,104186857,921,"*","Distal Intergenic",12,104214544,104221123,6580,1,"238393","ENSMUST00000121337.7",-27687,"ENSMUSG00000066363","Serpina3f","serine (or cysteine) peptidase inhibitor, clade A, member 3F"
"31","chr12",112795447,112796330,884,"*","Intron (ENSMUST00000124526.1/ENSMUST00000124526.1, intron 1 of 6)",12,112808937,112816252,7316,1,"217887","ENSMUST00000037014.10",-12607,"ENSMUSG00000037594","Clba1","clathrin binding box of aftiphilin containing 1"
"32","chr2",4317914,4318828,915,"*","Exon (ENSMUST00000194090.1/ENSMUST00000194090.1, exon 1 of 1)",2,4332466,4594640,262175,1,"209630","ENSMUST00000175944.7",-13638,"ENSMUSG00000026657","Frmd4a","FERM domain containing 4A"
"33","chr17",31841724,31842626,903,"*","Distal Intergenic",17,31849754,31851575,1822,2,"17691","ENSMUST00000234867.1",8949,"ENSMUSG00000024042","Sik1","salt inducible kinase 1"
"34","chr1",120236153,120237050,898,"*","Intron (ENSMUST00000140490.7/68428, intron 3 of 4)",1,120190757,120265255,74499,2,"68428","ENSMUST00000140490.7",28205,"ENSMUSG00000026389","Steap3","STEAP family member 3"
"35","chr15",67713944,67714834,891,"*","Distal Intergenic",15,67226769,67377094,150326,1,"69334","ENSMUST00000187233.1",487175,"ENSMUSG00000102069","1700012I11Rik","RIKEN cDNA 1700012I11 gene"
"36","chr12",74824644,74825526,883,"*","Exon (ENSMUST00000223498.1/ENSMUST00000223498.1, exon 1 of 2)",12,74897220,75177332,280113,2,"238271","ENSMUST00000042299.3",351806,"ENSMUSG00000034402","Kcnh5","potassium voltage-gated channel, subfamily H (eag-related), member 5"
"37","chr2",71002239,71003143,905,"*","Intron (ENSMUST00000100037.8/228019, intron 2 of 9)",2,70965437,71018374,52938,2,"228019","ENSMUST00000121586.7",15231,"ENSMUSG00000041975","Mettl8","methyltransferase like 8"
"38","chr19",58523606,58524546,941,"*","Intron (ENSMUST00000235305.1/75645, intron 3 of 6)",19,58512022,58553028,41007,1,"75645","ENSMUST00000069419.7",11584,"ENSMUSG00000025090","Ccdc172","coiled-coil domain containing 172"
"39","chr4",139232565,139233304,740,"*","Promoter (<=1kb)",4,139233383,139291783,58401,1,"12345","ENSMUST00000042675.8",-79,"ENSMUSG00000028745","Capzb","capping protein (actin filament) muscle Z-line, beta"
"40","chr17",10702534,10703425,892,"*","Intron (ENSMUST00000041463.6/69310, intron 2 of 4)",17,10576478,10631067,54590,2,"69310","ENSMUST00000160599.1",-71467,"ENSMUSG00000037196","Pacrg","PARK2 co-regulated"
"41","chr1",154065140,154066040,901,"*","Intron (ENSMUST00000185465.6/ENSMUST00000185465.6, intron 2 of 2)",1,154201187,154205689,4503,1,"100503355","ENSMUST00000086195.6",-135147,"ENSMUSG00000066797","Zfp648","zinc finger protein 648"
"42","chr12",8771021,8771886,866,"*","Promoter (<=1kb)",12,8771323,8793715,22393,1,"20969","ENSMUST00000020911.13",0,"ENSMUSG00000020592","Sdc1","syndecan 1"
"43","chr18",39737404,39738263,860,"*","Distal Intergenic",18,39773497,39776082,2586,1,"18459","ENSMUST00000063219.2",-35234,"ENSMUSG00000051732","Pabpc2","poly(A) binding protein, cytoplasmic 2"
"44","chr14",54882984,54883836,853,"*","Promoter (<=1kb)",14,54883377,54888234,4858,1,"12050","ENSMUST00000022806.9",0,"ENSMUSG00000022194","Bcl2l2","BCL2-like 2"
"45","chr14",45388427,45389326,900,"*","Promoter (<=1kb)",14,45376334,45388961,12628,2,"54342","ENSMUST00000046191.8",0,"ENSMUSG00000037722","Gnpnat1","glucosamine-phosphate N-acetyltransferase 1"
"46","chr8",125415891,125416800,910,"*","Distal Intergenic",8,125418063,125492710,74648,2,"244668","ENSMUST00000108775.1",75910,"ENSMUSG00000001995","Sipa1l2","signal-induced proliferation-associated 1 like 2"
"47","chr13",13637456,13638335,880,"*","Promoter (1-2kb)",13,13639911,13643586,3676,1,"17101","ENSMUST00000223527.1",-1576,"ENSMUSG00000019726","Lyst","lysosomal trafficking regulator"
"48","chr9",106377788,106378689,902,"*","Distal Intergenic",9,106370744,106373856,3113,1,"235584","ENSMUST00000173748.1",7044,"ENSMUSG00000053716","Dusp7","dual specificity phosphatase 7"
"49","chr15",100236803,100237691,889,"*","Intron (ENSMUST00000023769.10/11908, intron 2 of 6)",15,100232751,100260123,27373,1,"11908","ENSMUST00000168103.1",4052,"ENSMUSG00000023027","Atf1","activating transcription factor 1"
"50","chr7",135773523,135774440,918,"*","Intron (ENSMUST00000209956.1/ENSMUST00000209956.1, intron 1 of 3)",7,135689784,135716361,26578,2,"17345","ENSMUST00000033310.8",-57162,"ENSMUSG00000031004","Mki67","antigen identified by monoclonal antibody Ki 67"
"51","chr3",122340131,122341006,876,"*","Intron (ENSMUST00000196134.1/29815, intron 6 of 6)",3,122294136,122427148,133013,1,"29815","ENSMUST00000196134.1",45995,"ENSMUSG00000028121","Bcar3","breast cancer anti-estrogen resistance 3"
"52","chr3",105054710,105055578,869,"*","Promoter (1-2kb)",3,105001915,105053146,51232,2,"80281","ENSMUST00000077548.11",-1564,"ENSMUSG00000062127","Cttnbp2nl","CTTNBP2 N-terminal like"
"53","chr18",60736501,60737331,831,"*","Intron (ENSMUST00000237783.1/15531, intron 1 of 14)",18,60712948,60733150,20203,2,"15531","ENSMUST00000237885.1",-3351,"ENSMUSG00000054008","Ndst1","N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1"
"54","chr9",40733116,40733959,844,"*","Intron (ENSMUST00000139577.1/71566, intron 1 of 2)",9,40774094,40782471,8378,1,"71566","ENSMUST00000134153.1",-40135,"ENSMUSG00000032024","Clmp","CXADR-like membrane protein"
"55","chr10",59430645,59431550,906,"*","Promoter (<=1kb)",10,59428293,59431086,2794,2,"18302","ENSMUST00000162493.1",0,"ENSMUSG00000009654","Oit3","oncoprotein induced transcript 3"
"56","chr7",79858688,79859597,910,"*","Promoter (1-2kb)",7,79842056,79861059,19004,2,"16790","ENSMUST00000206235.1",1462,"ENSMUSG00000039062","Anpep","alanyl (membrane) aminopeptidase"
"57","chr11",94144905,94145817,913,"*","Intron (ENSMUST00000132584.7/ENSMUST00000132584.7, intron 2 of 5)",11,94082788,94126085,43298,1,"70834","ENSMUST00000153076.1",62117,"ENSMUSG00000020859","Spag9","sperm associated antigen 9"
"58","chr6",108527724,108528494,771,"*","Intron (ENSMUST00000032192.8/16438, intron 60 of 61)",6,108518732,108519672,941,1,"16438","ENSMUST00000205005.1",8992,"ENSMUSG00000030102","Itpr1","inositol 1,4,5-trisphosphate receptor 1"
"59","chr3",108767039,108767847,809,"*","Intron (ENSMUST00000133931.8/329738, intron 6 of 11)",3,108760214,108775002,14789,1,"329738","ENSMUST00000147916.1",6825,"ENSMUSG00000049565","Aknad1","AKNA domain containing 1"
"60","chr19",43896116,43896996,881,"*","Intron (ENSMUST00000212396.1/71972, intron 4 of 15)",19,43847763,43890691,42929,2,"71972","ENSMUST00000212048.1",-5425,"ENSMUSG00000025195","Dnmbp","dynamin binding protein"
"61","chr5",138776320,138777207,888,"*","Intron (ENSMUST00000026972.7/80752, intron 3 of 9)",5,138786500,138809159,22660,1,"80752","ENSMUST00000159176.7",-9293,"ENSMUSG00000025854","Fam20c","FAM20C, golgi associated secretory pathway kinase"
"62","chr11",31733949,31734740,792,"*","Distal Intergenic",11,31665181,31671885,6705,2,"69556","ENSMUST00000058060.13",-62064,"ENSMUSG00000044502","Bod1","biorientation of chromosomes in cell division 1"
"63","chr6",83868008,83868769,762,"*","Promoter (<=1kb)",6,83867110,83943021,75912,1,"18139","ENSMUST00000203273.2",898,"ENSMUSG00000030016","Zfp638","zinc finger protein 638"
"64","chr2",170310636,170311453,818,"*","Distal Intergenic",2,170347931,170349740,1810,2,"76960","ENSMUST00000156657.7",38287,"ENSMUSG00000013523","Bcas1","brain enriched myelin associated protein 1"
"65","chr12",32856565,32857449,885,"*","Distal Intergenic",12,32820801,32835012,14212,1,"59027","ENSMUST00000218491.1",35764,"ENSMUSG00000020572","Nampt","nicotinamide phosphoribosyltransferase"
"66","chr13",108765737,108766684,948,"*","Intron (ENSMUST00000133929.7/238871, intron 3 of 3)",13,108860166,109951344,1091179,1,"238871","ENSMUST00000177907.7",-93482,"ENSMUSG00000021699","Pde4d","phosphodiesterase 4D, cAMP specific"
"67","chr4",45489368,45490272,905,"*","Promoter (<=1kb)",4,45447506,45489403,41898,2,"230126","ENSMUST00000125599.1",0,"ENSMUSG00000044813","Shb","src homology 2 domain-containing transforming protein B"
"68","chr7",16405630,16406468,839,"*","Intron (ENSMUST00000214735.1/330474, intron 1 of 1)",7,16401207,16437696,36490,1,"330474","ENSMUST00000209289.1",4423,"ENSMUSG00000059273","Zc3h4","zinc finger CCCH-type containing 4"
"69","chr4",62328963,62329873,911,"*","Promoter (2-3kb)",4,62300342,62332294,31953,2,"338355","ENSMUST00000139308.1",2421,"ENSMUSG00000066151","Fkbp15","FK506 binding protein 15"
"70","chr10",83648271,83649187,917,"*","Promoter (<=1kb)",10,83600033,83648738,48706,2,"216190","ENSMUST00000020500.13",0,"ENSMUSG00000020263","Appl2","adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2"
"71","chr9",20945942,20946773,832,"*","Intron (ENSMUST00000178110.2/13433, intron 1 of 38)",9,20907521,20952605,45085,2,"13433","ENSMUST00000216540.1",5832,"ENSMUSG00000004099","Dnmt1","DNA methyltransferase (cytosine-5) 1"
"72","chr4",133942525,133943379,855,"*","Distal Intergenic",4,133965444,133967243,1800,2,"15331","ENSMUST00000123234.7",23864,"ENSMUSG00000003038","Hmgn2","high mobility group nucleosomal binding domain 2"
"73","chr3",103907353,103908221,869,"*","Intron (ENSMUST00000146071.7/19260, intron 21 of 22)",3,103902039,103912246,10208,1,"19260","ENSMUST00000126548.1",5314,"ENSMUSG00000027843","Ptpn22","protein tyrosine phosphatase, non-receptor type 22 (lymphoid)"
"74","chr9",75080401,75081301,901,"*","Intron (ENSMUST00000149823.1/17918, intron 1 of 1)",9,75071600,75218953,147354,1,"17918","ENSMUST00000136731.7",8801,"ENSMUSG00000034593","Myo5a","myosin VA"
"75","chr14",120925476,120926429,954,"*","Exon (ENSMUST00000032898.8/70572, exon 7 of 26)",14,120915847,120947418,31572,1,"70572","ENSMUST00000228277.1",9629,"ENSMUSG00000030662","Ipo5","importin 5"
"76","chr3",95504558,95505482,925,"*","Intron (ENSMUST00000015664.4/13038, intron 5 of 7)",3,95499256,95509362,10107,1,"13038","ENSMUST00000015664.4",5302,"ENSMUSG00000028111","Ctsk","cathepsin K"
"77","chr14",76958578,76959447,870,"*","Distal Intergenic",14,77034950,77036081,1132,2,"210808","ENSMUST00000142300.1",76634,"ENSMUSG00000044350","Lacc1","laccase domain containing 1"
"78","chr6",17052747,17053656,910,"*","Distal Intergenic",6,17065149,17105823,40675,1,"21753","ENSMUST00000115467.10",-11493,"ENSMUSG00000029552","Tes","testin LIM domain protein"
"79","chr9",110848956,110849859,904,"*","Promoter (<=1kb)",9,110849538,110856516,6979,1,"74306","ENSMUST00000119427.3",0,"ENSMUSG00000049719","Prss46","protease, serine 46"
"80","chr15",25622005,25622855,851,"*","Promoter (<=1kb)",15,25622525,25813673,191149,1,"17909","ENSMUST00000110457.7",0,"ENSMUSG00000022272","Myo10","myosin X"
"81","chr19",34066761,34067625,865,"*","Promoter (<=1kb)",19,34067358,34084918,17561,1,"70166","ENSMUST00000025682.11",0,"ENSMUSG00000024770","Lipn","lipase, family member N"
"82","chr14",27123267,27124162,896,"*","Intron (ENSMUST00000225949.1/71704, intron 1 of 13)",14,27114899,27403308,288410,1,"71704","ENSMUST00000225949.1",8368,"ENSMUSG00000021895","Arhgef3","Rho guanine nucleotide exchange factor (GEF) 3"
"83","chr7",144577672,144578549,878,"*","3' UTR",7,144577318,144582463,5146,2,"14082","ENSMUST00000033394.7",3914,"ENSMUSG00000031077","Fadd","Fas (TNFRSF6)-associated via death domain"
"84","chr5",112900339,112901214,876,"*","Distal Intergenic",5,112688876,112896362,207487,2,"74376","ENSMUST00000086617.10",-3977,"ENSMUSG00000072720","Myo18b","myosin XVIIIb"
